,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,probability,prediction
0,AB,Ordinary - Registered,0.75,0.25,0.0,4.0,Follower,0,"[0.75,0.25,0.0]","[0.8288912038783428,6.83327408995846e-16,0.17110879612165658]",0
1,Albert,Ordinary - Registered,0.7692307692307693,0.23076923076923078,0.0,13.0,Follower,0,"[0.7692307692307693,0.23076923076923078,0.0]","[0.8391407494217173,7.292659262806712e-16,0.16085925057828185]",0
2,Aleksander Valant,Ordinary - Registered,0.125,0.875,0.0,8.0,Catch-upper,2,"[0.125,0.875,0.0]","[0.2693310913533239,8.581373495913879e-16,0.7306689086466753]",2
3,alenka dornik,Ordinary - Registered,0.4166666666666667,0.25,0.3333333333333333,12.0,Mixed - No predominent behavior,3,"[0.4166666666666667,0.25,0.3333333333333333]","[0.7177162386462942,3.8370091933605234e-16,0.2822837613537053]",0
4,Alenka Neudauer,Ordinary - Registered,0.9166666666666666,0.08333333333333333,0.0,12.0,Follower,0,"[0.9166666666666666,0.08333333333333333,0.0]","[0.9010842969757056,1.4152284278262672e-15,0.09891570302429303]",0
5,alesj,Ordinary - Registered,0.6,0.4,0.0,5.0,Follower,0,"[0.6,0.4,0.0]","[0.7289850657175401,4.831179648954612e-16,0.2710149342824595]",0
6,alexhana,Ordinary - Registered,0.4,0.0,0.6,5.0,Independant,1,"[0.4,0.0,0.6]","[0.7627173854337022,1.2215713297078495e-15,0.23728261456629662]",0
7,alja,Ordinary - Registered,0.875,0.125,0.0,8.0,Follower,0,"[0.875,0.125,0.0]","[0.8863138903790926,1.1387698318448291e-15,0.1136861096209063]",0
8,Aljaž,Ordinary - Registered,0.2727272727272727,0.0,0.7272727272727273,11.0,Independant,1,"[0.2727272727272727,0.0,0.7272727272727273]","[0.7728059061601193,2.5051293154591355e-15,0.22719409383987813]",0
9,amanita.amanita,Ordinary - Registered,0.23076923076923078,0.07692307692307693,0.6923076923076923,13.0,Independant,1,"[0.23076923076923078,0.07692307692307693,0.6923076923076923]","[0.7668677554968525,1.8607879465301416e-15,0.23313224450314574]",0
10,Ana Horvath,Ordinary - Registered,0.6,0.0,0.4,5.0,Follower,0,"[0.6,0.0,0.4]","[0.7893541881326448,7.366101356640618e-16,0.21064581186735445]",0
11,Ana Stadler,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[0.776771312262794,2.941544746788618e-15,0.22322868773720322]",0
