,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]","[2.994191710753762e-08,9.316812394061523e-09,0.9999999607412705]",2
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]","[0.9661003705843985,0.03389962941560147,1.502321610772835e-16]",0
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]","[2.3770781800215023e-21,6.8067625229229e-08,0.9999999319323748]",2
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]","[0.09188350116295471,0.9081164988370451,1.4127080233621404e-16]",1
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]","[4.1070734938435166e-08,5.39534118530196e-10,0.9999999583897309]",2
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]","[0.016097864694342687,0.9839021353056568,3.5231309054767535e-16]",1
6,alexhana,0.0,0.75,0.4,ordinary,"[0.0,0.75,0.4]","[0.7479322489072954,0.2520677510927045,1.404662703912638e-16]",0
7,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]","[5.166539921489626e-08,1.2052537019136822e-09,0.999999947129347]",2
8,Alja��,0.0,0.8,0.2727272727272727,ordinary,"[0.0,0.8,0.2727272727272727]","[0.9337808060965639,0.06621919390343611,6.402447681399324e-17]",0
9,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]","[1.5393343081086337e-15,0.9999999999999981,4.1793730542158737e-16]",1
10,Ana Horvath,0.0,0.75,0.6,ordinary,"[0.0,0.75,0.6]","[0.8398213536091865,0.16017864639081322,2.1886644955939825e-16]",0
11,Ana Stadler,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]","[1.2067284990686293e-07,1.1862033506012585e-08,0.9999998674651166]",2
12,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[3.088655435810718e-17,1.371435527078667e-07,0.9999998628564473]",2
13,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]","[5.899753134899008e-10,7.572426566868621e-08,0.9999999236857591]",2
14,Ando Saina,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]","[1.400350563429571e-08,9.003365497838539e-11,0.9999999859064607]",2
15,Andra�� ��unkar,0.0,0.9,0.8181818181818182,ordinary,"[0.0,0.9,0.8181818181818182]","[0.9935461942693423,0.006453805730657402,2.1333353060501006e-16]",0
