,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.48869771390910044,1.1770019424058025,"[0.48869771390910044,1.1770019424058025]",1
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]",0.5083166903689927,1.1074463949985822,"[0.5083166903689927,1.1074463949985822]",1
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.38959773567542766,1.2762165300612454,"[-0.38959773567542766,1.2762165300612454]",0
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]",0.21407823338529788,0.8462622393741523,"[0.21407823338529788,0.8462622393741523]",2
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",0.7229098337983079,1.1505447190310178,"[0.7229098337983079,1.1505447190310178]",1
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]",0.2556903092729957,1.001305070851181,"[0.2556903092729957,1.001305070851181]",3
6,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]",0.664356803826006,1.157159024874714,"[0.664356803826006,1.157159024874714]",1
7,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]",0.15264714240647378,0.38261684100608573,"[0.15264714240647378,0.38261684100608573]",2
8,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.213938645758522,1.2563736125301568,"[-0.213938645758522,1.2563736125301568]",0
9,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]",0.19188976845325628,1.1751856143659278,"[0.19188976845325628,1.1751856143659278]",3
10,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,"[0.4166666666666667,0.7272727272727273,0.5]",0.16765359019600035,0.9575401169929156,"[0.16765359019600035,0.9575401169929156]",2
11,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,"[0.7272727272727273,0.9,0.2727272727272727]",-0.19088722810432093,1.172962460305915,"[-0.19088722810432093,1.172962460305915]",0
12,Andro Zuanic,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",0.10775753842753194,0.9506766140120759,"[0.10775753842753194,0.9506766140120759]",2
13,andrzej,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",0.27128824156143316,0.8261701247059202,"[0.27128824156143316,0.8261701247059202]",2
14,ane,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.38959773567542766,1.2762165300612454,"[-0.38959773567542766,1.2762165300612454]",0
15,Anela,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",-0.08002993827237803,0.8658559597680973,"[-0.08002993827237803,0.8658559597680973]",2
16,Ankica,0.45454545454545453,1.0,0.09090909090909093,ordinary,"[0.45454545454545453,1.0,0.09090909090909093]",-0.1401762090456723,1.05525279974035,"[-0.1401762090456723,1.05525279974035]",0
17,ante vrataric,0.16666666666666666,1.0,0.3333333333333333,ordinary,"[0.16666666666666666,1.0,0.3333333333333333]",0.23022882045388415,0.994132022230453,"[0.23022882045388415,0.994132022230453]",3
18,Anze-G,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.213938645758522,1.2563736125301568,"[-0.213938645758522,1.2563736125301568]",0
19,Anzze99,0.3333333333333333,0.875,0.6666666666666666,ordinary,"[0.3333333333333333,0.875,0.6666666666666666]",0.36048340559658765,1.0904763677972311,"[0.36048340559658765,1.0904763677972311]",3
20,Apsirtgirl,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",0.43850940250427023,1.182671347414685,"[0.43850940250427023,1.182671347414685]",1
21,benjamin,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",-0.3310447057031258,1.2696022242175489,"[-0.3310447057031258,1.2696022242175489]",0
22,blaz02,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",-0.3310447057031258,1.2696022242175489,"[-0.3310447057031258,1.2696022242175489]",0
23,Bojan1825,0.3333333333333333,1.0,0.6666666666666666,ordinary,"[0.3333333333333333,1.0,0.6666666666666666]",0.3715916539644966,1.190230554093195,"[0.3715916539644966,1.190230554093195]",3
24,Branklo,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.48869771390910044,1.1770019424058025,"[0.48869771390910044,1.1770019424058025]",1
25,BrunoB,0.2222222222222222,0.875,0.6666666666666666,ordinary,"[0.2222222222222222,0.875,0.6666666666666666]",0.4331637181005437,1.0351401503278286,"[0.4331637181005437,1.0351401503278286]",1
26,Buda,0.6666666666666666,0.4,0.3333333333333333,ordinary,"[0.6666666666666666,0.4,0.3333333333333333]",-0.15015217797988134,0.7643249066221376,"[-0.15015217797988134,0.7643249066221376]",2
27,chibu79,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",0.7229098337983079,1.1505447190310178,"[0.7229098337983079,1.1505447190310178]",1
28,Cromiza,0.2727272727272727,0.8,0.2727272727272727,ordinary,"[0.2727272727272727,0.8,0.2727272727272727]",0.09755472435389963,0.8667836761670425,"[0.09755472435389963,0.8667836761670425]",2
29,cvjetko,0.25,1.0,0.6666666666666666,ordinary,"[0.25,1.0,0.6666666666666666]",0.42610188834246365,1.148728390991143,"[0.42610188834246365,1.148728390991143]",1
30,Damir Mulalic,0.25,1.0,0.16666666666666666,ordinary,"[0.25,1.0,0.16666666666666666]",0.05052693494264378,0.9790870825031858,"[0.05052693494264378,0.9790870825031858]",2
31,Danilo4783,0.2727272727272727,1.0,0.09090909090909093,ordinary,"[0.2727272727272727,1.0,0.09090909090909093]",-0.021244788584653257,0.9647026256995095,"[-0.021244788584653257,0.9647026256995095]",2
32,Dario,0.1111111111111111,1.0,0.2222222222222222,ordinary,"[0.1111111111111111,1.0,0.2222222222222222]",0.1831078759503467,0.9287658449428724,"[0.1831078759503467,0.9287658449428724]",2
33,DarioR,0.14285714285714285,1.0,0.14285714285714285,ordinary,"[0.14285714285714285,1.0,0.14285714285714285]",0.10272700040956242,0.9176490009677878,"[0.10272700040956242,0.9176490009677878]",2
34,Darko Babic,0.15384615384615385,1.0,0.6923076923076923,ordinary,"[0.15384615384615385,1.0,0.6923076923076923]",0.508258566645237,1.1095408340009785,"[0.508258566645237,1.1095408340009785]",1
35,Dejan Adamic,0.15384615384615385,0.5833333333333334,0.6153846153846154,ordinary,"[0.15384615384615385,0.5833333333333334,0.6153846153846154]",0.4134503100240297,0.7509282168367978,"[0.4134503100240297,0.7509282168367978]",2
36,DejanJ,0.07692307692307693,0.9166666666666666,0.8461538461538461,ordinary,"[0.07692307692307693,0.9166666666666666,0.8461538461538461]",0.6667317312821349,1.0569256798083262,"[0.6667317312821349,1.0569256798083262]",1
