,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
0,AB,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]","[9.655096661284596e-09,1.7530663461010696e-06,0.9999981679211761,6.935738120320026e-08]",2
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,"[0.23076923076923078,0.9166666666666666,0.7692307692307693]","[0.005676952432217985,0.9714111729635241,4.117296585918934e-17,0.02291187460425799]",1
2,Aleksander Valant,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]","[8.065207566249582e-08,4.744524872858477e-22,0.9999998029344866,1.1641343767200211e-07]",2
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,"[0.25,0.7272727272727273,0.4166666666666667]","[0.9643118728951676,8.970988166636469e-05,5.260706247728253e-17,0.035598417223166076]",0
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]","[1.0617295092717883e-10,6.501362028208057e-07,0.9999993358830879,1.3874536330300762e-08]",2
5,alesj,0.4,0.75,0.6,ordinary,"[0.4,0.75,0.6]","[0.5911788922297516,4.096786466087613e-05,1.245977968394082e-16,0.40878013990558737]",0
6,alja,0.125,1.0,0.875,ordinary,"[0.125,1.0,0.875]","[3.8310203189182937e-10,1.299523408231755e-06,0.9999986781069664,2.198652331984637e-08]",2
7,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,"[0.07692307692307693,0.3333333333333333,0.2307692307692308]","[0.9999796743927791,2.2701996715650443e-14,2.2701996715650357e-14,2.032560717547199e-05]",0
8,AnaPetar,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[3.4168369251969815e-07,1.5100040905912154e-17,0.9999994476198247,2.106964826783758e-07]",2
9,AnBn,0.4166666666666667,1.0,0.5,ordinary,"[0.4166666666666667,1.0,0.5]","[0.560543956256565,0.058057907341368696,1.2587193675808375e-16,0.3813981364020662]",0
10,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,"[0.4166666666666667,0.7272727272727273,0.5]","[0.598958698561676,9.062724119589016e-07,5.656590196821963e-17,0.40104039516591183]",0
11,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,"[0.7272727272727273,0.9,0.2727272727272727]","[0.4938913282606652,2.0588808700035556e-11,2.4373080141234567e-16,0.5061086717187457]",3
