,users,catchingUpRatio,order,freq,ordinary-late,prediction
0,AB,0.25,1.0,0.75,ordinary,0
1,Albert,0.23076923076923078,0.9166666666666666,0.7692307692307693,ordinary,0
2,Aleksander Valant,0.875,1.0,0.125,ordinary,1
3,alenka dornik,0.25,0.7272727272727273,0.4166666666666667,ordinary,2
4,Alenka Neudauer,0.08333333333333333,1.0,0.9166666666666666,ordinary,0
5,alesj,0.4,0.75,0.6,ordinary,2
6,alja,0.125,1.0,0.875,ordinary,0
7,amanita.amanita,0.07692307692307693,0.3333333333333333,0.2307692307692308,ordinary,2
8,AnaPetar,0.75,1.0,0.25,ordinary,1
9,AnBn,0.4166666666666667,1.0,0.5,ordinary,0
10,andrea vlastelica,0.4166666666666667,0.7272727272727273,0.5,ordinary,2
11,Andrej_A,0.7272727272727273,0.9,0.2727272727272727,ordinary,1
12,Andro Zuanic,0.5,0.6666666666666666,0.5,ordinary,2
13,andrzej,0.25,0.6666666666666666,0.5,ordinary,2
14,ane,0.875,1.0,0.125,ordinary,1
15,Anela,0.5,0.6666666666666666,0.25,ordinary,2
16,Ankica,0.45454545454545453,1.0,0.09090909090909093,ordinary,1
17,ante vrataric,0.16666666666666666,1.0,0.3333333333333333,ordinary,3
18,Anze-G,0.75,1.0,0.25,ordinary,1
19,Anzze99,0.3333333333333333,0.875,0.6666666666666666,ordinary,0
20,Apsirtgirl,0.2857142857142857,1.0,0.7142857142857143,ordinary,0
21,benjamin,0.8333333333333334,1.0,0.16666666666666666,ordinary,1
22,blaz02,0.8333333333333334,1.0,0.16666666666666666,ordinary,1
23,Bojan1825,0.3333333333333333,1.0,0.6666666666666666,ordinary,0
24,Branklo,0.25,1.0,0.75,ordinary,0
25,BrunoB,0.2222222222222222,0.875,0.6666666666666666,ordinary,0
26,Buda,0.6666666666666666,0.4,0.3333333333333333,ordinary,2
27,chibu79,0.08333333333333333,1.0,0.9166666666666666,ordinary,0
28,Cromiza,0.2727272727272727,0.8,0.2727272727272727,ordinary,3
29,cvjetko,0.25,1.0,0.6666666666666666,ordinary,0
30,Damir Mulalic,0.25,1.0,0.16666666666666666,ordinary,3
31,Danilo4783,0.2727272727272727,1.0,0.09090909090909093,ordinary,3
32,Dario,0.1111111111111111,1.0,0.2222222222222222,ordinary,3
33,DarioR,0.14285714285714285,1.0,0.14285714285714285,ordinary,3
34,Darko Babic,0.15384615384615385,1.0,0.6923076923076923,ordinary,0
35,Dejan Adamic,0.15384615384615385,0.5833333333333334,0.6153846153846154,ordinary,2
36,DejanJ,0.07692307692307693,0.9166666666666666,0.8461538461538461,ordinary,0
37,demirel,0.75,0.6666666666666666,0.25,ordinary,1
38,Deni Oreb,0.9090909090909091,1.0,0.09090909090909093,ordinary,1
39,Dimen,0.2,0.75,0.4,ordinary,3
40,dkervina,0.5,1.0,0.5,ordinary,1
41,dmeic,0.46153846153846156,0.8333333333333334,0.3076923076923077,ordinary,1
42,Dorsi,0.6,1.0,0.4,ordinary,1
43,dragana,0.5714285714285714,0.5,0.42857142857142855,ordinary,2
