,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.11576765969846395,1.1776510733460523,"[0.11576765969846395,1.1776510733460523]",2
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.2779049360532504,1.0778684305178219,"[0.2779049360532504,1.0778684305178219]",2
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.9882534173939501,1.1745229203681018,"[-0.9882534173939501,1.1745229203681018]",0
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0.0505926120673896,0.751550489909416,"[0.0505926120673896,0.751550489909416]",1
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",0.450724025320449,1.1584265360052857,"[0.450724025320449,1.1584265360052857]",2
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",-0.06481945997474747,1.025722209457108,"[-0.06481945997474747,1.025722209457108]",1
6,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",0.3724158372717395,1.1605462357688408,"[0.3724158372717395,1.1605462357688408]",2
7,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",-0.0238582293870344,0.40300051791808983,"[-0.0238582293870344,0.40300051791808983]",1
8,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.8510851136699836,1.2165196433668957,"[-0.8510851136699836,1.2165196433668957]",0
9,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0.00775200978541099,0.9998800818404832,"[0.00775200978541099,0.9998800818404832]",2
10,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",-0.00968634134671803,0.8891170313418741,"[-0.00968634134671803,0.8891170313418741]",1
11,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",-0.41435992569300684,0.9766868306526828,"[-0.41435992569300684,0.9766868306526828]",0
12,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",-0.2844273776402165,1.009994431131947,"[-0.2844273776402165,1.009994431131947]",0
