,users,intensityNormalized,order,freq,catchingUpRatio,features,probability,prediction
0,AB,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]","[1.0541670421117178e-19,7.263612940100146e-05,1.0541670421116269e-19,0.999927363870599]",3
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.025000000000000005,0.9166666666666666,0.7692307692307693,0.23076923076923078]","[1.3079939272258608e-19,5.528553379358403e-05,1.3079939272258608e-19,0.9999447144662064]",3
2,Aleksander Valant,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]","[1.0,2.0139009577640607e-17,2.0139009577640607e-17,2.0139009577640607e-17]",0
3,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25,"[0.04166666666666666,0.7272727272727273,0.4166666666666667,0.25]","[1.591982573419181e-15,0.9998336766890394,6.705279257475918e-18,0.00016632331095899552]",1
4,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]","[3.66582378597484e-19,2.0557366101206836e-08,3.66582378597484e-19,0.999999979442634]",3
5,alesj,0.05555555555555556,0.75,0.6,0.4,"[0.05555555555555556,0.75,0.6,0.4]","[1.8653006960833305e-17,0.9356553337651675,1.86530021880288e-17,0.06434466623483252]",1
6,alexhana,0.02083333333333333,0.75,0.4,0.0,"[0.02083333333333333,0.75,0.4,0.0]","[1.0558519322717545e-20,9.774122783536733e-07,0.9999990225877217,3.0975625118418136e-23]",2
7,alja,0.0119047619047619,1.0,0.875,0.125,"[0.0119047619047619,1.0,0.875,0.125]","[1.5754397830666936e-19,1.6480470885355224e-07,1.5754397830666936e-19,0.9999998351952912]",3
8,Alja��,0.00833333333333334,0.8,0.2727272727272727,0.0,"[0.00833333333333334,0.8,0.2727272727272727,0.0]","[1.0386871129064436e-12,2.1335792957075487e-07,0.9999997866410317,1.1783943629081792e-22]",2
9,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.13333333333333333,0.3333333333333333,0.2307692307692308,0.07692307692307693]","[3.06995471593037e-15,0.9999999999999908,3.06995471593037e-15,3.06995471593037e-15]",1
10,Ana Horvath,0.0,0.75,0.6,0.0,"[0.0,0.75,0.6,0.0]","[2.474988184645673e-23,2.319607675371715e-07,0.9999997677318275,3.0740482770856257e-10]",2
11,Ana Stadler,0.08333333333333333,1.0,0.25,0.0,"[0.08333333333333333,1.0,0.25,0.0]","[9.58305101559955e-08,1.563976418403892e-07,0.999999747771848,2.114784642221945e-23]",2
