,users,intensityNormalized,order,freq,prediction
0,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,1
1,alma,0.2916666666666667,1.0,0.0,3
2,AndrejaN,0.25,1.0,0.0,3
3,anja menih,0.25,1.0,0.0,3
4,anja.r,0.25,1.0,0.0,3
5,Annie Cornu,0.9166666666666666,1.0,0.0,2
6,babao,0.0972222222222222,0.5833333333333334,0.0,0
7,Bor,0.5833333333333334,0.8571428571428571,0.0,1
8,BorutKolar,0.08333333333333333,1.0,0.0,3
9,David Sirk,0.2222222222222222,1.0,0.0,3
10,Dra��en Kralj,0.25,0.9090909090909092,0.0,3
11,Gaja,0.25,1.0,0.0,3
12,Hrvoje Petek,0.25,0.9090909090909092,0.0,3
13,Ivana Kozina,0.2777777777777777,0.9166666666666666,0.0,3
14,Jelenaa,0.4166666666666667,0.9090909090909092,0.0,1
15,Jolanda,0.6666666666666666,1.0,0.0,1
16,Katja De Faveri,0.25,1.0,0.0,3
17,Kopacin,0.25,1.0,0.0,3
18,Ksenija,0.25,1.0,0.0,3
19,Lejla,0.25,1.0,0.0,3
20,Marco,0.2777777777777777,0.8333333333333334,0.0,3
21,Maru��aaaa,0.25,1.0,0.0,3
22,Matea Pavicic,0.08333333333333333,1.0,0.0,3
23,miranF,1.0,1.0,0.0,2
24,Nada,0.9166666666666666,1.0,0.0,2
25,Nikolaj,0.25,1.0,0.0,3
26,Nina1,0.25,1.0,0.0,3
27,NinaP,0.25,0.6666666666666666,0.0,0
28,noordung,0.3333333333333333,1.0,0.0,3
29,p2035e,0.125,1.0,0.0,3
30,Paval,0.2777777777777777,1.0,0.0,3
31,poppy,0.1875,0.9166666666666666,0.0,3
32,roman113,0.4166666666666667,1.0,0.0,1
33,Safet,0.13888888888888887,1.0,0.0,3
34,Spasic Vladimir,0.08333333333333333,1.0,0.0,3
35,stinfio,0.13333333333333333,0.9166666666666666,0.0,3
36,Tone,0.25,0.6666666666666666,0.0,0
37,Toni Petkovic,0.0972222222222222,1.0,0.0,3
38,Valentin,0.4583333333333333,0.9166666666666666,0.0,1
39,Vanda,0.125,0.75,0.0,0
40,varga,0.11666666666666665,1.0,0.0,3
41,Vedran Nikolic,0.9166666666666666,1.0,0.0,2
42,��S,0.25,0.6666666666666666,0.0,0
